của	395917	cuả	575
người	381575	ngừơi	36	ngươì	22
nói	356443	noí	17
lại	305016	laị	41
được	255705	đựơc	113
này	202248	naỳ	12
phải	188722	phaỉ	3
vào	185568	vaò	36
với	180143	vơí	16
thấy	171137	thâý	4
rồi	170348	rôì	43
biết	139129	bíêt	13
nào	123634	naò	17
đầu	121464	đâù	30
cái	109170	caí	2
tiếng	102858	tíêng	1
lão	101513	laõ	3
vậy	95860	vâỵ	7
trước	94651	trứơc	21
tiểu	90394	tỉêu	7	tiêủ	1
tới	89691	tơí	5
hỏi	87705	hoỉ	1
cười	85092	cươì	11	cừơi	10
nữa	80867	nưã	32
đại	79059	đaị	1
mới	78705	mơí	3
muốn	74669	múôn	6
giờ	74346	gìơ	6
chuyện	73761	chuỵên	9
xuống	73683	xúông	2
nếu	73620	nêú	3
vừa	72907	vưà	17
việc	71735	vịêc	14
ấy	71471	âý	10
ngày	65159	ngaỳ	14
tại	63236	taị	16
lời	62579	lơì	3
đều	61795	đêù	10
lấy	58867	lâý	8
nhiều	53060	nhiêù	25	nhìêu	6
nước	52344	nứơc	15
kiếm	51724	kíêm	2
đường	50985	đừơng	6
phía	49007	phiá	132
ngoài	48829	ngòai	179	ngoaì	3
thiếu	48824	thiêú	1	thíêu	1
điều	48513	điêù	8	đìêu	5
mấy	48436	mâý	7
đối	47998	đôí	2
tiếp	46821	tíêp	2
thời	44228	thơì	1
cửa	43640	cưả	8
hiện	43632	hịên	4
hiểu	43047	hiêủ	2	hỉêu	1
bước	42533	bứơc	11
quá	42185	qúa	163
khỏi	40945	khoỉ	1
toàn	40806	tòan	134
mọi	39831	moị	5
ngồi	39538	ngôì	7
chiếc	38310	chíêc	1
hoàng	38273	hòang	64
trường	38079	trừơng	3
chạy	37834	chaỵ	5
thường	36609	thừơng	12
thái	36395	thaí	2
trời	35267	trơì	1
áo	35095	aó	13
đạo	33839	đaọ	7
giáo	33676	gíao	9	giaó	4
thượng	32078	thựơng	3
quả	31107	qủa	75
dưới	30703	dứơi	3	dươí	2
cuộc	30592	cụôc	1
dài	30067	daì	6
chịu	30059	chiụ	7
tiền	29174	tìên	2
nổi	28930	nôỉ	3
cậu	28383	câụ	4
gọi	28373	goị	4
khiến	28205	khíên	1
chiến	27186	chíên	2
hoàn	27160	hòan	108
hãy	27145	haỹ	3
giọng	26889	gịong	9
Đại	26328	Đaị	1
gái	25516	gaí	1
quyết	25242	quýêt	2
đời	25154	đơì	2
xuất	24651	xúât	2
vội	24320	vôị	1
giải	24320	giaỉ	2	gỉai	1
giữa	24202	giưã	6	gĩưa	1
tưởng	24155	tửơng	1
tài	23666	taì	26
phái	23486	phaí	1
biến	22995	bíên	2
mười	22792	mừơi	1
hồi	22582	hôì	6
tối	22500	tôí	5
nghĩa	22491	nghiã	64
giả	22253	gỉa	18
ngựa	22015	ngưạ	5
tuyệt	21564	tuỵêt	4
báo	21504	baó	5
đấy	20959	đâý	1
giác	20518	gíac	2
giữ	20300	gĩư	6
mỗi	20062	môĩ	6
trái	20051	traí	1
giới	19932	gíơi	2
cứu	19646	cưú	4
núi	19413	nuí	2
cầu	19358	câù	4
chúa	19055	chuá	60
nội	18847	nôị	1
lợi	18660	lơị	1
mày	18491	maỳ	1
muội	18484	mụôi	1
hải	18416	haỉ	4
cuối	18343	cuôí	1
dậy	18170	dâỵ	1
già	18135	gìa	49
triệu	18096	triêụ	1	trịêu	1
điểm	18027	đỉêm	1
tuổi	17805	tuôỉ	1	tủôi	1
trưởng	17635	trửơng	25
điện	17600	địên	4
kiến	17495	kíên	1
kéo	17031	keó	7
đổi	16816	đôỉ	4
giúp	16617	gíup	3
hại	16501	haị	11
quyền	16474	quỳên	1
rượu	16145	rựơu	2
vài	16139	vaì	7
cháu	16135	chaú	3
hầu	16048	hâù	1
biệt	15562	bịêt	4
hướng	15063	hứơng	2
hiệu	14979	hịêu	1	hiêụ	1
giá	14859	gía	50
chuyển	14857	chuỷên	20
thuộc	14649	thụôc	2
hiệp	14648	hịêp	1
đứa	14391	đưá	11
máy	14324	maý	3
thủy	14280	thuỷ	2307
hóa	14196	hoá	4148
tội	14056	tôị	22
địa	13948	điạ	20
quỷ	13864	qủy	186
bối	13845	bôí	1
màu	13818	maù	1
hoặc	13812	họăc	2
thừa	13756	thưà	8
quái	13577	quaí	1	qúai	1
buồn	13447	bùôn	1
hữu	13347	hưũ	3
gió	13295	gío	13
máu	13217	maú	2
tượng	13024	tựơng	4
thoát	12928	thóat	49
nỗi	12860	nôĩ	2
bài	12850	baì	19
mũi	12793	muĩ	3
loại	12687	lọai	46	loaị	2
lửa	12423	lưả	1
mời	12403	mơì	1
trượng	12383	trựơng	2
tường	12220	từơng	1
diện	12151	dịên	1
đội	12145	đôị	4
lượng	11943	lựơng	3
ngài	11897	ngaì	1
hòa	11850	hoà	3332
đảo	11820	đaỏ	1
quý	11623	qúy	308
đoạn	11443	đọan	91
luyện	11415	luỵên	2
tạo	11162	taọ	2
thuật	11120	thụât	1
tiện	10746	tịên	1
đoán	10712	đóan	80
đuổi	10564	đủôi	2
sáu	10477	saú	2
khoảng	10421	khỏang	46
yếu	10397	yêú	2
quán	10340	qúan	16
hào	10024	haò	2
ngoại	9859	ngọai	66
biển	9717	bỉên	1
chiều	9695	chiêù	1	chìêu	1
dường	9692	dừơng	1
việt	9539	vịêt	1
thầy	9485	thâỳ	3
liệt	9231	lịêt	2
liệu	9219	liêụ	1
huyệt	9153	huỵêt	1
nghiệp	8892	nghịêp	1
biểu	8727	bỉêu	8
buổi	8633	bủôi	1
cửu	8560	cưủ	1
Đoàn	8521	Đòan	5
tựa	8480	tưạ	3
loạn	8466	lọan	45
đẩy	8173	đâỷ	15
lỗi	8095	lôĩ	1
chiếu	8019	chiêú	2
tuần	7902	tùân	2
giường	7751	giừơng	4
dạy	7736	daỵ	1
mái	7660	maí	2
cường	7456	cừơng	1
bữa	7355	bưã	4
ngược	7321	ngựơc	3
hoảng	7314	hỏang	21
triều	7308	triêù	1
mùa	7186	muà	37
quản	7141	qủan	1
Ðại	7136	Ðaị	1
đoàn	7105	đòan	31
toán	7000	tóan	24
mùi	6908	muì	1
xấu	6889	xâú	3
chùa	6853	chuà	21
diệu	6840	dịêu	1
hứa	6779	hưá	10
rối	6626	rôí	1
trại	6598	traị	3
đài	6570	đaì	1
dược	6408	dựơc	1
tàu	6399	taù	3
vượt	6325	vựơt	1
hoài	6312	hòai	26
thoại	6265	thọai	45
hưởng	6179	hửơng	1
thiện	6150	thịên	1
buộc	6114	bụôc	1
thúy	6047	thuý	912
hỏa	5892	hoả	1564
hoạt	5874	họat	49
họa	5859	hoạ	1435
lưỡi	5844	lươĩ	1
hiếu	5784	hiêú	2
nguyệt	5736	nguỵêt	3
ái	5731	aí	4
